predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
alpha_norm_asym,overall_score_str,0,pooled,,72,0.2363,0.0456,0.1488,0.2123,layer_31
alpha_norm_asym,transfer_margin_str,0,pooled,,72,0.2891,0.0138,0.2595,0.0277,layer_31
alpha_norm_asym,overall_margin_str,0,pooled,,72,0.347,0.0028,0.3676,0.0015,layer_31
alpha_norm_asym,accuracy_gpt-5-mini,0,pooled,,72,-0.0556,0.6428,-0.1207,0.3127,layer_31
alpha_norm_asym,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0979,0.4133,-0.1513,0.2046,layer_31
alpha_norm_asym,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1151,0.3358,-0.1955,0.0998,layer_31
alpha_abs_ratio,accuracy_majority,0,pooled,,72,0.0136,0.9097,-0.0214,0.8581,layer_31
alpha_abs_ratio,overall_score,0,pooled,,72,-0.1198,0.3163,-0.2411,0.0413,layer_31
alpha_abs_ratio,transfer_score,0,pooled,,72,-0.0982,0.4117,-0.1962,0.0986,layer_31
alpha_abs_ratio,transfer_score_str,0,pooled,,72,-0.2769,0.0185,-0.373,0.0013,layer_31
alpha_abs_ratio,overall_score_str,0,pooled,,72,-0.24,0.0423,-0.3413,0.0033,layer_31
alpha_abs_ratio,transfer_margin_str,0,pooled,,72,-0.3359,0.0039,-0.3257,0.0052,layer_31
alpha_abs_ratio,overall_margin_str,0,pooled,,72,-0.3367,0.0038,-0.5195,0.0,layer_31
alpha_abs_ratio,accuracy_gpt-5-mini,0,pooled,,72,0.0084,0.9439,-0.0377,0.7534,layer_31
alpha_abs_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0379,0.752,0.0507,0.6723,layer_31
alpha_abs_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.0086,0.9431,-0.0078,0.9481,layer_31
alpha_signed_ratio,accuracy_majority,0,pooled,,72,-0.0625,0.6017,-0.2023,0.0884,layer_31
alpha_signed_ratio,overall_score,0,pooled,,72,0.2289,0.0531,-0.094,0.4321,layer_31
alpha_signed_ratio,transfer_score,0,pooled,,72,0.1473,0.217,-0.145,0.2243,layer_31
alpha_signed_ratio,transfer_score_str,0,pooled,,72,0.2331,0.0488,-0.2118,0.0741,layer_31
alpha_signed_ratio,overall_score_str,0,pooled,,72,0.2363,0.0456,-0.1384,0.2462,layer_31
alpha_signed_ratio,transfer_margin_str,0,pooled,,72,0.2891,0.0138,0.0193,0.8722,layer_31
alpha_signed_ratio,overall_margin_str,0,pooled,,72,0.347,0.0028,-0.0575,0.6315,layer_31
alpha_signed_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0556,0.6428,-0.1897,0.1104,layer_31
alpha_signed_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0979,0.4133,-0.1247,0.2966,layer_31
alpha_signed_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1151,0.3358,-0.2114,0.0747,layer_31
alpha_log_ratio,accuracy_majority,0,pooled,,72,-0.0625,0.6017,-0.1903,0.1094,layer_31
alpha_log_ratio,overall_score,0,pooled,,72,0.2289,0.0531,0.1194,0.3176,layer_31
alpha_log_ratio,transfer_score,0,pooled,,72,0.1473,0.217,0.0136,0.9097,layer_31
alpha_log_ratio,transfer_score_str,0,pooled,,72,0.2331,0.0488,0.0645,0.5905,layer_31
alpha_log_ratio,overall_score_str,0,pooled,,72,0.2363,0.0456,0.1214,0.3096,layer_31
alpha_log_ratio,transfer_margin_str,0,pooled,,72,0.2891,0.0138,0.2691,0.0222,layer_31
alpha_log_ratio,overall_margin_str,0,pooled,,72,0.347,0.0028,0.3545,0.0022,layer_31
alpha_log_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0556,0.6428,-0.1645,0.1673,layer_31
alpha_log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0979,0.4133,-0.184,0.1218,layer_31
alpha_log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1151,0.3358,-0.2317,0.0502,layer_31
A_abs_diff,accuracy_majority,0,pooled,,72,0.1069,0.3715,0.0785,0.5124,layer_31
A_abs_diff,overall_score,0,pooled,,72,0.082,0.4935,0.077,0.5204,layer_31
A_abs_diff,transfer_score,0,pooled,,72,0.0617,0.6067,0.023,0.8481,layer_31
A_abs_diff,transfer_score_str,0,pooled,,72,-0.1637,0.1695,-0.155,0.1937,layer_31
A_abs_diff,overall_score_str,0,pooled,,72,-0.2067,0.0815,-0.2073,0.0806,layer_31
A_abs_diff,transfer_margin_str,0,pooled,,72,-0.1882,0.1134,-0.199,0.0937,layer_31
A_abs_diff,overall_margin_str,0,pooled,,72,-0.3674,0.0015,-0.3564,0.0021,layer_31
A_abs_diff,accuracy_gpt-5-mini,0,pooled,,72,0.065,0.5873,0.0418,0.7274,layer_31
A_abs_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.147,0.218,0.1223,0.3061,layer_31
A_abs_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1319,0.2694,0.1178,0.3245,layer_31
A_signed_diff,accuracy_majority,0,pooled,,72,-0.0358,0.7652,-0.047,0.6948,layer_31
A_signed_diff,overall_score,0,pooled,,72,0.2609,0.0268,0.2906,0.0133,layer_31
A_signed_diff,transfer_score,0,pooled,,72,0.155,0.1935,0.1426,0.2323,layer_31
A_signed_diff,transfer_score_str,0,pooled,,72,0.1478,0.2155,0.136,0.2545,layer_31
A_signed_diff,overall_score_str,0,pooled,,72,0.2801,0.0172,0.1995,0.0929,layer_31
A_signed_diff,transfer_margin_str,0,pooled,,72,0.1608,0.1772,0.1257,0.2926,layer_31
A_signed_diff,overall_margin_str,0,pooled,,72,0.3682,0.0015,0.3709,0.0013,layer_31
A_signed_diff,accuracy_gpt-5-mini,0,pooled,,72,-0.0078,0.9484,-0.0143,0.905,layer_31
A_signed_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0193,0.8724,0.0037,0.9752,layer_31
A_signed_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.0697,0.561,-0.0583,0.6266,layer_31
A_min,accuracy_majority,0,pooled,,72,0.06,0.6168,0.0556,0.6427,layer_31
A_min,overall_score,0,pooled,,72,0.2983,0.0109,0.3429,0.0032,layer_31
A_min,transfer_score,0,pooled,,72,0.2873,0.0144,0.2864,0.0147,layer_31
A_min,transfer_score_str,0,pooled,,72,0.366,0.0016,0.4226,0.0002,layer_31
A_min,overall_score_str,0,pooled,,72,0.426,0.0002,0.4332,0.0001,layer_31
A_min,transfer_margin_str,0,pooled,,72,0.221,0.0621,0.2516,0.033,layer_31
A_min,overall_margin_str,0,pooled,,72,0.5847,0.0,0.6205,0.0,layer_31
A_min,accuracy_gpt-5-mini,0,pooled,,72,0.0739,0.5373,0.0703,0.5573,layer_31
A_min,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0139,0.9079,0.0079,0.9478,layer_31
A_min,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.0422,0.7246,0.0341,0.776,layer_31
A_max,accuracy_majority,0,pooled,,72,0.1092,0.361,0.1449,0.2245,layer_31
A_max,overall_score,0,pooled,,72,0.3709,0.0013,0.4452,0.0001,layer_31
A_max,transfer_score,0,pooled,,72,0.3318,0.0044,0.3263,0.0051,layer_31
A_max,transfer_score_str,0,pooled,,72,0.197,0.0973,0.2733,0.0202,layer_31
A_max,overall_score_str,0,pooled,,72,0.2098,0.0769,0.2268,0.0554,layer_31
A_max,transfer_margin_str,0,pooled,,72,0.1178,0.3246,0.045,0.7072,layer_31
A_max,overall_margin_str,0,pooled,,72,0.2566,0.0295,0.2593,0.0279,layer_31
A_max,accuracy_gpt-5-mini,0,pooled,,72,0.0825,0.491,0.12,0.3155,layer_31
A_max,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.1094,0.3602,0.1431,0.2305,layer_31
A_max,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1176,0.3253,0.1657,0.1643,layer_31
A_norm_asym,accuracy_majority,0,pooled,,72,-0.0959,0.423,-0.1307,0.274,layer_31
A_norm_asym,overall_score,0,pooled,,72,0.2107,0.0757,0.1915,0.1071,layer_31
A_norm_asym,transfer_score,0,pooled,,72,0.1125,0.347,0.0668,0.5773,layer_31
A_norm_asym,transfer_score_str,0,pooled,,72,0.104,0.3847,0.0523,0.6625,layer_31
A_norm_asym,overall_score_str,0,pooled,,72,0.2589,0.0281,0.1555,0.1923,layer_31
A_norm_asym,transfer_margin_str,0,pooled,,72,0.1848,0.1202,0.1816,0.1268,layer_31
A_norm_asym,overall_margin_str,0,pooled,,72,0.38,0.001,0.3876,0.0008,layer_31
A_norm_asym,accuracy_gpt-5-mini,0,pooled,,72,-0.0611,0.6102,-0.1038,0.3857,layer_31
A_norm_asym,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0767,0.5221,-0.1091,0.3618,layer_31
A_norm_asym,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1296,0.2778,-0.1597,0.1802,layer_31
A_abs_ratio,accuracy_majority,0,pooled,,72,0.0376,0.7536,-0.0263,0.8267,layer_31
A_abs_ratio,overall_score,0,pooled,,72,-0.0622,0.6034,-0.206,0.0826,layer_31
A_abs_ratio,transfer_score,0,pooled,,72,-0.0656,0.5839,-0.178,0.1347,layer_31
A_abs_ratio,transfer_score_str,0,pooled,,72,-0.2968,0.0114,-0.3364,0.0039,layer_31
A_abs_ratio,overall_score_str,0,pooled,,72,-0.3413,0.0033,-0.3267,0.0051,layer_31
A_abs_ratio,transfer_margin_str,0,pooled,,72,-0.2647,0.0246,-0.3051,0.0092,layer_31
A_abs_ratio,overall_margin_str,0,pooled,,72,-0.5158,0.0,-0.4965,0.0,layer_31
A_abs_ratio,accuracy_gpt-5-mini,0,pooled,,72,0.0107,0.9287,-0.0448,0.7089,layer_31
A_abs_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.1058,0.3766,0.0446,0.71,layer_31
A_abs_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.069,0.5647,0.0134,0.911,layer_31
A_signed_ratio,accuracy_majority,0,pooled,,72,-0.0959,0.423,-0.1716,0.1495,layer_31
A_signed_ratio,overall_score,0,pooled,,72,0.2107,0.0757,-0.0042,0.9723,layer_31
A_signed_ratio,transfer_score,0,pooled,,72,0.1125,0.347,-0.0851,0.4774,layer_31
A_signed_ratio,transfer_score_str,0,pooled,,72,0.104,0.3847,-0.1562,0.1902,layer_31
A_signed_ratio,overall_score_str,0,pooled,,72,0.2589,0.0281,-0.0676,0.5726,layer_31
A_signed_ratio,transfer_margin_str,0,pooled,,72,0.1848,0.1202,0.0248,0.8362,layer_31
A_signed_ratio,overall_margin_str,0,pooled,,72,0.38,0.001,0.0463,0.6995,layer_31
A_signed_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0611,0.6102,-0.1572,0.1873,layer_31
A_signed_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0767,0.5221,-0.0933,0.4355,layer_31
A_signed_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1296,0.2778,-0.1603,0.1785,layer_31
A_log_ratio,accuracy_majority,0,pooled,,72,-0.0959,0.423,-0.1527,0.2003,layer_31
A_log_ratio,overall_score,0,pooled,,72,0.2107,0.0757,0.1702,0.153,layer_31
A_log_ratio,transfer_score,0,pooled,,72,0.1125,0.347,0.0475,0.6918,layer_31
A_log_ratio,transfer_score_str,0,pooled,,72,0.104,0.3847,0.0412,0.731,layer_31
A_log_ratio,overall_score_str,0,pooled,,72,0.2589,0.0281,0.1443,0.2266,layer_31
A_log_ratio,transfer_margin_str,0,pooled,,72,0.1848,0.1202,0.2,0.0921,layer_31
A_log_ratio,overall_margin_str,0,pooled,,72,0.38,0.001,0.3841,0.0009,layer_31
A_log_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0611,0.6102,-0.1259,0.2919,layer_31
A_log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0767,0.5221,-0.1247,0.2966,layer_31
A_log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1296,0.2778,-0.1771,0.1367,layer_31
drop_to_min_abs_diff,accuracy_majority,0,pooled,,72,0.1229,0.3036,0.092,0.4422,layer_31
drop_to_min_abs_diff,overall_score,0,pooled,,72,0.1022,0.3932,0.1041,0.3842,layer_31
drop_to_min_abs_diff,transfer_score,0,pooled,,72,0.0852,0.477,0.044,0.7134,layer_31
drop_to_min_abs_diff,transfer_score_str,0,pooled,,72,-0.1419,0.2346,-0.1275,0.286,layer_31
drop_to_min_abs_diff,overall_score_str,0,pooled,,72,-0.1877,0.1143,-0.1829,0.1241,layer_31
drop_to_min_abs_diff,transfer_margin_str,0,pooled,,72,-0.182,0.126,-0.189,0.1118,layer_31
drop_to_min_abs_diff,overall_margin_str,0,pooled,,72,-0.3386,0.0036,-0.3311,0.0045,layer_31
drop_to_min_abs_diff,accuracy_gpt-5-mini,0,pooled,,72,0.0837,0.4845,0.0563,0.6384,layer_31
drop_to_min_abs_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.1571,0.1877,0.1319,0.2693,layer_31
drop_to_min_abs_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1313,0.2717,0.1242,0.2987,layer_31
drop_to_min_signed_diff,accuracy_majority,0,pooled,,72,-0.0205,0.8643,-0.027,0.8216,layer_31
drop_to_min_signed_diff,overall_score,0,pooled,,72,0.2736,0.02,0.3091,0.0082,layer_31
drop_to_min_signed_diff,transfer_score,0,pooled,,72,0.1672,0.1604,0.1598,0.18,layer_31
drop_to_min_signed_diff,transfer_score_str,0,pooled,,72,0.1751,0.1412,0.1629,0.1716,layer_31
drop_to_min_signed_diff,overall_score_str,0,pooled,,72,0.2916,0.013,0.2169,0.0672,layer_31
drop_to_min_signed_diff,transfer_margin_str,0,pooled,,72,0.1582,0.1843,0.1209,0.3117,layer_31
drop_to_min_signed_diff,overall_margin_str,0,pooled,,72,0.3704,0.0014,0.3697,0.0014,layer_31
drop_to_min_signed_diff,accuracy_gpt-5-mini,0,pooled,,72,0.0063,0.9582,0.0073,0.9512,layer_31
drop_to_min_signed_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0093,0.9381,0.0239,0.8421,layer_31
drop_to_min_signed_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.0582,0.6272,-0.0399,0.7394,layer_31
drop_to_min_min,accuracy_majority,0,pooled,,72,0.0801,0.5033,0.0617,0.6066,layer_31
drop_to_min_min,overall_score,0,pooled,,72,0.3187,0.0064,0.3525,0.0024,layer_31
drop_to_min_min,transfer_score,0,pooled,,72,0.3111,0.0078,0.2978,0.0111,layer_31
drop_to_min_min,transfer_score_str,0,pooled,,72,0.3917,0.0007,0.4382,0.0001,layer_31
drop_to_min_min,overall_score_str,0,pooled,,72,0.4452,0.0001,0.4446,0.0001,layer_31
drop_to_min_min,transfer_margin_str,0,pooled,,72,0.222,0.0609,0.2506,0.0337,layer_31
drop_to_min_min,overall_margin_str,0,pooled,,72,0.599,0.0,0.6269,0.0,layer_31
drop_to_min_min,accuracy_gpt-5-mini,0,pooled,,72,0.0936,0.4343,0.0775,0.5176,layer_31
drop_to_min_min,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0076,0.9495,0.0145,0.9035,layer_31
drop_to_min_min,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.0642,0.5921,0.0415,0.7293,layer_31
drop_to_min_max,accuracy_majority,0,pooled,,72,0.1595,0.1807,0.1584,0.1839,layer_31
drop_to_min_max,overall_score,0,pooled,,72,0.3926,0.0006,0.4554,0.0001,layer_31
drop_to_min_max,transfer_score,0,pooled,,72,0.3722,0.0013,0.338,0.0037,layer_31
drop_to_min_max,transfer_score_str,0,pooled,,72,0.2888,0.0139,0.2924,0.0127,layer_31
drop_to_min_max,overall_score_str,0,pooled,,72,0.2694,0.0221,0.2394,0.0428,layer_31
drop_to_min_max,transfer_margin_str,0,pooled,,72,0.1246,0.2972,0.0434,0.7175,layer_31
drop_to_min_max,overall_margin_str,0,pooled,,72,0.3058,0.009,0.2596,0.0277,layer_31
drop_to_min_max,accuracy_gpt-5-mini,0,pooled,,72,0.1311,0.2722,0.1358,0.2554,layer_31
drop_to_min_max,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.1491,0.2112,0.1549,0.1939,layer_31
drop_to_min_max,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1406,0.2389,0.173,0.1462,layer_31
drop_to_min_norm_asym,accuracy_majority,0,pooled,,72,-0.0783,0.5133,-0.1206,0.3131,layer_31
drop_to_min_norm_asym,overall_score,0,pooled,,72,0.2227,0.0601,0.1996,0.0928,layer_31
drop_to_min_norm_asym,transfer_score,0,pooled,,72,0.1246,0.2972,0.0753,0.5297,layer_31
drop_to_min_norm_asym,transfer_score_str,0,pooled,,72,0.1208,0.3119,0.0661,0.5814,layer_31
drop_to_min_norm_asym,overall_score_str,0,pooled,,72,0.2691,0.0223,0.165,0.1659,layer_31
drop_to_min_norm_asym,transfer_margin_str,0,pooled,,72,0.1818,0.1264,0.1818,0.1264,layer_31
drop_to_min_norm_asym,overall_margin_str,0,pooled,,72,0.3863,0.0008,0.3889,0.0007,layer_31
drop_to_min_norm_asym,accuracy_gpt-5-mini,0,pooled,,72,-0.0427,0.7217,-0.0928,0.4382,layer_31
drop_to_min_norm_asym,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0618,0.606,-0.1018,0.3949,layer_31
drop_to_min_norm_asym,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1138,0.3413,-0.1523,0.2016,layer_31
drop_to_min_abs_ratio,accuracy_majority,0,pooled,,72,0.0384,0.7489,-0.0235,0.8449,layer_31
drop_to_min_abs_ratio,overall_score,0,pooled,,72,-0.07,0.5588,-0.2051,0.0839,layer_31
drop_to_min_abs_ratio,transfer_score,0,pooled,,72,-0.0706,0.5557,-0.1758,0.1395,layer_31
drop_to_min_abs_ratio,transfer_score_str,0,pooled,,72,-0.2979,0.011,-0.3336,0.0042,layer_31
drop_to_min_abs_ratio,overall_score_str,0,pooled,,72,-0.3501,0.0026,-0.3211,0.006,layer_31
drop_to_min_abs_ratio,transfer_margin_str,0,pooled,,72,-0.262,0.0262,-0.3055,0.0091,layer_31
drop_to_min_abs_ratio,overall_margin_str,0,pooled,,72,-0.5215,0.0,-0.4913,0.0,layer_31
drop_to_min_abs_ratio,accuracy_gpt-5-mini,0,pooled,,72,0.0137,0.9091,-0.0414,0.73,layer_31
drop_to_min_abs_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.1024,0.3923,0.0497,0.6784,layer_31
drop_to_min_abs_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.0599,0.6171,0.013,0.9139,layer_31
drop_to_min_signed_ratio,accuracy_majority,0,pooled,,72,-0.0783,0.5133,-0.1711,0.1507,layer_31
drop_to_min_signed_ratio,overall_score,0,pooled,,72,0.2227,0.0601,-0.0167,0.8889,layer_31
drop_to_min_signed_ratio,transfer_score,0,pooled,,72,0.1246,0.2972,-0.0923,0.4408,layer_31
drop_to_min_signed_ratio,transfer_score_str,0,pooled,,72,0.1208,0.3119,-0.1627,0.1721,layer_31
drop_to_min_signed_ratio,overall_score_str,0,pooled,,72,0.2691,0.0223,-0.0777,0.5164,layer_31
drop_to_min_signed_ratio,transfer_margin_str,0,pooled,,72,0.1818,0.1264,0.0165,0.8905,layer_31
drop_to_min_signed_ratio,overall_margin_str,0,pooled,,72,0.3863,0.0008,0.0228,0.8489,layer_31
drop_to_min_signed_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0427,0.7217,-0.157,0.1878,layer_31
drop_to_min_signed_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0618,0.606,-0.0874,0.4653,layer_31
drop_to_min_signed_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1138,0.3413,-0.1599,0.1798,layer_31
drop_to_min_log_ratio,accuracy_majority,0,pooled,,72,-0.0783,0.5133,-0.1496,0.2096,layer_31
drop_to_min_log_ratio,overall_score,0,pooled,,72,0.2227,0.0601,0.1721,0.1483,layer_31
drop_to_min_log_ratio,transfer_score,0,pooled,,72,0.1246,0.2972,0.0503,0.675,layer_31
drop_to_min_log_ratio,transfer_score_str,0,pooled,,72,0.1208,0.3119,0.0498,0.6776,layer_31
drop_to_min_log_ratio,overall_score_str,0,pooled,,72,0.2691,0.0223,0.1495,0.2099,layer_31
drop_to_min_log_ratio,transfer_margin_str,0,pooled,,72,0.1818,0.1264,0.2035,0.0865,layer_31
drop_to_min_log_ratio,overall_margin_str,0,pooled,,72,0.3863,0.0008,0.3839,0.0009,layer_31
drop_to_min_log_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0427,0.7217,-0.1222,0.3064,layer_31
drop_to_min_log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0618,0.606,-0.123,0.3032,layer_31
drop_to_min_log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1138,0.3413,-0.1759,0.1393,layer_31
recovery_abs_diff,accuracy_majority,0,pooled,,72,-0.1312,0.2718,-0.1509,0.2057,layer_31
recovery_abs_diff,overall_score,0,pooled,,72,-0.1369,0.2514,-0.1521,0.2022,layer_31
recovery_abs_diff,transfer_score,0,pooled,,72,-0.1652,0.1655,-0.1805,0.1292,layer_31
recovery_abs_diff,transfer_score_str,0,pooled,,72,-0.0685,0.5673,-0.0727,0.5437,layer_31
recovery_abs_diff,overall_score_str,0,pooled,,72,-0.0379,0.7521,-0.0692,0.5637,layer_31
recovery_abs_diff,transfer_margin_str,0,pooled,,72,0.0848,0.4789,0.0577,0.6305,layer_31
recovery_abs_diff,overall_margin_str,0,pooled,,72,0.0062,0.9589,-0.0057,0.9619,layer_31
recovery_abs_diff,accuracy_gpt-5-mini,0,pooled,,72,-0.1711,0.1507,-0.1914,0.1072,layer_31
recovery_abs_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1735,0.145,-0.1733,0.1454,layer_31
recovery_abs_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.151,0.2053,-0.1288,0.281,layer_31
recovery_signed_diff,accuracy_majority,0,pooled,,72,-0.1288,0.281,-0.1331,0.265,layer_31
